<<<<<<< HEAD
username	password	email	role	user_group	expired_at	note	full_name	keyword_list
user001	password	user001@example.jp	Administrator			test	田辺 浩介	keyword1 keyword2
user002			User		2013-12-01	
user003		user003@example.jp	Librarian			テストユーザ
=======
username	email	role	full_name	full_name_transcription	user_number	user_group	expired_at	note
user1	user001@example.jp	Administrator	田辺浩介	たなべこうすけ	98765			test
user2		User					2013-12-01	
user3	user003@example.jp	Librarian						テストユーザ
>>>>>>> e71530e77d966809e8368f6420d0fff356f2c82a
